'BINLOW','BINUP','BINCENTER','aS=0.11','aS=0.111','aS=0.112','aS=0.113','aS=0.114','aS=0.115','aS=0.116','aS=0.117','aS=0.118','aS=0.119','aS=0.12','aS=0.121','aS=0.122','aS=0.123','aS=0.124'
8,1,15,0.11,0.111,0.112,0.113,0.114,0.115,0.116,0.117,0.118,0.119,0.12,0.121,0.122,0.123,0.124
200.0,250.0,225.0,0.157828104481,0.160802341669,0.163782347237,0.166772880572,0.169765085845,0.172753994744,0.175743483941,0.178731122556,0.181713014553,0.184684560931,0.187640889241,0.190576907511,0.193487623381,0.196367572059,0.19921165807
250.0,315.0,282.5,0.092253009817,0.0939091640725,0.0955691214155,0.0972359595451,0.0989052806406,0.100574660075,0.102246650272,0.103920376619,0.105594216159,0.107266032873,0.108933808544,0.11059498913,0.112246973249,0.113886815808,0.115511434516
315.0,400.0,357.5,0.0424944769397,0.0432134178203,0.0439340229536,0.0446580495322,0.0453838130591,0.0461105693174,0.0468396335003,0.0475709455459,0.0483039848109,0.0490381549495,0.0497727936883,0.0505070690946,0.0512398252456,0.0519699011996,0.0526958941454
400.0,500.0,450.0,0.0172597534887,0.0175318871204,0.0178047077294,0.0180789879522,0.0183541960013,0.0186301808705,0.018907546035,0.0191864007736,0.0194666499954,0.019748220979,0.0200309737594,0.0203147086787,0.0205991040926,0.020883760888,0.0211682002022
500.0,625.0,562.5,0.00640394334545,0.00649634578779,0.0065889497928,0.00668208211098,0.00677560533747,0.00686953048251,0.00696409859257,0.00705939884696,0.00715544382399,0.00725225293188,0.00734981765718,0.00744810637497,0.00754701460112,0.0076464052262,0.00774609661076
625.0,800.0,712.5,0.00214779477806,0.00217637442072,0.00220506365133,0.00223397737716,0.00226310531765,0.00229246810033,0.00232215823515,0.00235221968809,0.00238267906736,0.0024135673899,0.00244490223857,0.00247669877094,0.00250893145467,0.00254156768376,0.00257454988208
800.0,1050.0,925.0,0.000589767041556,0.000596690203243,0.000603646901234,0.000610669131323,0.000617761673355,0.000624933723534,0.000632216411128,0.000639623567845,0.000647170728187,0.000654870720402,0.000662736119989,0.000670774866906,0.00067898881237,0.000687374465747,0.000695924647127
1050.0,1400.0,1225.0,0.000115313160408,0.000116483789516,0.000117668309807,0.000118873449941,0.0001201024505,0.000121359302463,0.000122648603534,0.000123974760221,0.000125341701031,0.000126753246432,0.000128212972726,0.000129723340665,0.000131284433607,0.000132894751018,0.000134551264911
